罪種,認知件数_2025,認知件数_2024,増減,増減率
近畿,,29.0,25.0,4.0
近畿,,32.0,32.0,0.0
中国,,207.0,165.0,42.0
中国,,22.0,17.0,5.0
中国,,13.0,16.0,-3.0
中国,,57.0,48.0,9.0
中国,,87.0,67.0,20.0
中国,,28.0,17.0,11.0
四国,,98.0,91.0,7.0
四国,,9.0,12.0,-3.0
四国,,41.0,28.0,13.0
四国,,25.0,33.0,-8.0
四国,,23.0,18.0,5.0
九州,,519.0,447.0,72.0
九州,,186.0,165.0,21.0
九州,,26.0,38.0,-12.0
九州,,42.0,32.0,10.0
九州,,60.0,56.0,4.0
九州,,17.0,21.0,-4.0
九州,,34.0,33.0,1.0
九州,,77.0,52.0,25.0
九州,,77.0,50.0,27.0
第６表,,,,
総数,,553.0,545.0,8.0
北海道,,25.0,25.0,0.0
北海道,,16.0,17.0,-1.0
北海道,,1.0,0.0,1.0
北海道,,0.0,4.0,-4.0
北海道,,4.0,1.0,3.0
北海道,,4.0,3.0,1.0
東北,,35.0,32.0,3.0
東北,,5.0,7.0,-2.0
東北,,6.0,5.0,1.0
東北,,14.0,13.0,1.0
東北,,2.0,1.0,1.0
東北,,5.0,3.0,2.0
東北,,3.0,3.0,0.0
東京都,,80.0,68.0,12.0
関東,,151.0,138.0,13.0
関東,,6.0,13.0,-7.0
関東,,3.0,6.0,-3.0
関東,,7.0,5.0,2.0
関東,,52.0,33.0,19.0
関東,,22.0,28.0,-6.0
関東,,22.0,29.0,-7.0
関東,,6.0,6.0,0.0
関東,,2.0,0.0,2.0
関東,,1.0,2.0,-1.0
関東,,30.0,16.0,14.0
中部,,44.0,52.0,-8.0
中部,,4.0,2.0,2.0
中部,,3.0,6.0,-3.0
中部,,0.0,4.0,-4.0
中部,,6.0,7.0,-1.0
中部,,30.0,30.0,0.0
中部,,1.0,3.0,-2.0
近畿,,146.0,116.0,30.0
近畿,,12.0,4.0,8.0
近畿,,15.0,8.0,7.0
近畿,,80.0,56.0,24.0
近畿,,32.0,42.0,-10.0
近畿,,5.0,3.0,2.0
近畿,,2.0,3.0,-1.0
中国,,29.0,41.0,-12.0
中国,,10.0,12.0,-2.0
中国,,2.0,4.0,-2.0
中国,,3.0,9.0,-6.0
中国,,11.0,16.0,-5.0
中国,,3.0,0.0,3.0
四国,,4.0,12.0,-8.0
四国,,0.0,3.0,-3.0
四国,,2.0,5.0,-3.0
四国,,2.0,3.0,-1.0
四国,,0.0,1.0,-1.0
九州,,39.0,61.0,-22.0
九州,,10.0,22.0,-12.0
九州,,5.0,6.0,-1.0
九州,,6.0,6.0,0.0
九州,,7.0,5.0,2.0
九州,,1.0,4.0,-3.0
九州,,3.0,1.0,2.0
九州,,4.0,8.0,-4.0
九州,,3.0,9.0,-6.0
第６表,,,,
総数,,6564.0,6481.0,83.0
北海道,,242.0,202.0,40.0
北海道,,160.0,138.0,22.0
北海道,,14.0,18.0,-4.0
北海道,,26.0,15.0,11.0
北海道,,30.0,17.0,13.0
北海道,,12.0,14.0,-2.0
東北,,352.0,460.0,-108.0
東北,,61.0,76.0,-15.0
東北,,38.0,43.0,-5.0
東北,,152.0,185.0,-33.0
東北,,15.0,26.0,-11.0
東北,,21.0,31.0,-10.0
東北,,65.0,99.0,-34.0
東京都,,822.0,738.0,84.0
関東,,1688.0,1813.0,-125.0
関東,,94.0,93.0,1.0
関東,,58.0,36.0,22.0
関東,,68.0,72.0,-4.0
関東,,530.0,637.0,-107.0
関東,,264.0,316.0,-52.0
関東,,369.0,365.0,4.0
関東,,66.0,64.0,2.0
関東,,23.0,25.0,-2.0
関東,,47.0,55.0,-8.0
